real_set,bank,eta,final_width,mean_width,final_coverage,anytime_coverage,width_10,width_20,width_50,width_100,width_200,n_runs
Real_100,Sim_10080,0.05,0.05950000000000001,0.17023500000000003,1.0,1.0,0.50125,0.33975,0.19200000000000003,0.11075000000000003,0.05950000000000001,2000
Real_100,Sim_10080,0.1,0.052250000000000005,0.14733750000000004,1.0,1.0,0.485,0.312,0.15700000000000003,0.08175000000000003,0.052250000000000005,2000
Real_100,Sim_10080,0.25,0.04575,0.12581250000000002,1.0,1.0,0.454,0.258,0.11375000000000003,0.06725000000000002,0.04575,2000
Real_100,Sim_10080,0.5,0.04625,0.11715250000000003,1.0,0.9875,0.41175,0.21475000000000002,0.10025000000000003,0.06325000000000001,0.04625,2000
Real_100,Sim_10080,1.0,0.0465,0.11014375000000001,1.0,1.0,0.3545,0.19625,0.09550000000000003,0.06000000000000001,0.0465,2000
Real_100,Sim_10080,2.0,0.04650000000000001,0.10793250000000003,1.0,1.0,0.3335,0.18650000000000003,0.09150000000000003,0.06125000000000001,0.04650000000000001,2000
Real_100,Sim_10080,5.0,0.0465,0.10569875000000002,1.0,1.0,0.3227499999999999,0.18375,0.09100000000000003,0.05975000000000001,0.0465,2000
Real_100,Sim_10080,10.0,0.048,0.10602000000000003,1.0,1.0,0.3202499999999999,0.1815,0.09200000000000003,0.059750000000000004,0.048,2000
Real_100,Sim_10080,25.0,0.045250000000000005,0.10563375000000003,1.0,1.0,0.32025,0.18325,0.09275000000000001,0.061000000000000006,0.045250000000000005,2000
Real_100,Sim_10080,50.0,0.046,0.10673000000000002,1.0,1.0,0.32375,0.1835,0.09350000000000003,0.062250000000000014,0.046,2000
Real_100,Sim_252,0.05,0.057250000000000016,0.15886,1.0,1.0,0.45725,0.309,0.18075,0.10450000000000002,0.057250000000000016,2000
Real_100,Sim_252,0.1,0.05025000000000001,0.13598875000000005,1.0,1.0,0.43825,0.28,0.14125000000000004,0.07550000000000001,0.05025000000000001,2000
Real_100,Sim_252,0.25,0.046000000000000006,0.11774625000000002,1.0,1.0,0.403,0.229,0.10525000000000002,0.06500000000000003,0.046000000000000006,2000
Real_100,Sim_252,0.5,0.04475,0.11047875000000003,1.0,1.0,0.36,0.2005,0.09550000000000003,0.06025000000000001,0.04475,2000
Real_100,Sim_252,1.0,0.047,0.10734000000000003,1.0,1.0,0.33225,0.1895,0.09300000000000003,0.060750000000000005,0.047,2000
Real_100,Sim_252,2.0,0.046000000000000006,0.10717125000000002,1.0,1.0,0.32575,0.1845,0.09325000000000003,0.06200000000000001,0.046000000000000006,2000
Real_100,Sim_252,5.0,0.045000000000000005,0.10438500000000002,1.0,1.0,0.32099999999999995,0.18175,0.09025000000000002,0.05925000000000001,0.045000000000000005,2000
Real_100,Sim_252,10.0,0.044500000000000005,0.10493000000000002,1.0,1.0,0.32199999999999995,0.182,0.09200000000000003,0.06050000000000001,0.044500000000000005,2000
Real_100,Sim_252,25.0,0.04675000000000001,0.10554250000000004,1.0,1.0,0.32275,0.18300000000000002,0.09200000000000003,0.06150000000000001,0.04675000000000001,2000
Real_100,Sim_252,50.0,0.046250000000000006,0.10597625000000004,1.0,1.0,0.32025,0.1845,0.09100000000000001,0.06225000000000001,0.046250000000000006,2000
Real_100,Sim_35,0.05,0.08000000000000002,0.17216000000000006,1.0,1.0,0.4725,0.3222499999999999,0.18750000000000003,0.11300000000000003,0.08000000000000002,2000
Real_100,Sim_35,0.1,0.07600000000000001,0.15616500000000003,1.0,1.0,0.4565,0.2925,0.15225000000000002,0.09800000000000003,0.07600000000000001,2000
Real_100,Sim_35,0.25,0.07775,0.144205,1.0,1.0,0.42025,0.245,0.12750000000000006,0.09325000000000003,0.07775,2000
Real_100,Sim_35,0.5,0.07875000000000003,0.13979375000000005,1.0,1.0,0.385,0.2195,0.12100000000000002,0.09400000000000003,0.07875000000000003,2000
Real_100,Sim_35,1.0,0.08075000000000003,0.13811750000000003,1.0,1.0,0.3595,0.20825000000000002,0.11950000000000002,0.09500000000000003,0.08075000000000003,2000
Real_100,Sim_35,2.0,0.08000000000000003,0.13608250000000005,1.0,1.0,0.34375,0.2055,0.11850000000000002,0.09325000000000003,0.08000000000000003,2000
Real_100,Sim_35,5.0,0.08100000000000002,0.1359225,0.9875,0.9875,0.34075,0.20275000000000004,0.11875000000000002,0.09275000000000003,0.08100000000000002,2000
Real_100,Sim_35,10.0,0.08250000000000003,0.13772000000000004,1.0,1.0,0.34175,0.20475,0.12150000000000002,0.09775000000000003,0.08250000000000003,2000
Real_100,Sim_35,25.0,0.08300000000000002,0.1382475,1.0,1.0,0.33874999999999994,0.20200000000000004,0.12200000000000001,0.09700000000000003,0.08300000000000002,2000
Real_100,Sim_35,50.0,0.08125000000000002,0.13638375000000003,1.0,1.0,0.34175,0.20275000000000004,0.12000000000000002,0.09600000000000003,0.08125000000000002,2000
Real_100,Sim_756,0.05,0.056250000000000015,0.15941125000000003,1.0,1.0,0.4595,0.31075,0.17975,0.10225000000000001,0.056250000000000015,2000
