real_set,distribution,method,bank,final_width,mean_width,final_coverage,anytime_coverage,width_10,width_20,width_50,width_100,width_200,n_runs
Real_100,Bernoulli_0_025,e_value_constant_0.25,none,0.1142,0.30673500000000004,1.0,1.0,1.0,0.8445999999999999,0.3454,0.18899999999999995,0.1142,100
Real_100,Bernoulli_0_025,e_value_constant_0.5,none,0.07759999999999997,0.20361300000000004,1.0,1.0,0.9200000000000003,0.4441999999999999,0.19159999999999994,0.1164,0.07759999999999997,100
Real_100,Bernoulli_0_025,e_value_wsr,none,0.0848,0.14320900000000003,1.0,1.0,0.3628,0.2102,0.131,0.09939999999999999,0.0848,100
Real_100,Bernoulli_0_025,empirical_bernstein,none,0.09809342987873716,0.2428109220821261,1.0,1.0,0.9651009238162237,0.5236871148749764,0.25603382309615524,0.15016165239787774,0.09809342987873716,100
Real_100,Bernoulli_0_025,hoeffding,none,0.12138227913199205,0.20493991776148535,1.0,1.0,0.45046940834673754,0.32468073095415256,0.21886455826398415,0.16021015157406196,0.12138227913199205,100
Real_100,Bernoulli_0_025,sequential_t_test,none,0.07979272468678732,0.10232486207224768,1.0,0.02,0.13004678902766792,0.11142133733756272,0.12097528349710072,0.09379787298542042,0.07979272468678732,100
Real_100,Bernoulli_0_025,sim2real,Ideal,0.16233749999999997,0.20860062500000004,1.0,1.0,0.3636625,0.2609437499999999,0.19431874999999996,0.1733875,0.16233749999999997,100
Real_100,Bernoulli_0_025,sim2real,Sim_10080,0.07601249999999998,0.13616671875,0.97,0.97,0.38495624999999983,0.21682499999999993,0.12257499999999999,0.09033125,0.07601249999999998,100
Real_100,Bernoulli_0_025,sim2real,Sim_252,0.07705000000000001,0.139486375,1.0,1.0,0.3924624999999999,0.22616249999999996,0.12876875,0.09583749999999998,0.07705000000000001,100
Real_100,Bernoulli_0_025,sim2real,Sim_35,0.07679375000000001,0.13716125,1.0,1.0,0.3749562500000001,0.218675,0.12303750000000001,0.09132499999999999,0.07679375000000001,100
Real_100,Bernoulli_0_025,sim2real,Sim_756,0.0794125,0.1438354375,0.99,0.99,0.39293749999999994,0.2395125,0.13734375,0.097425,0.0794125,100
Real_100,Bernoulli_0_025,sim2real,Sim_7_biased,0.13461874999999998,0.17670596875000005,0.99,0.99,0.3020687500000001,0.20704375,0.16650000000000006,0.1471375,0.13461874999999998,100
Real_100,Bernoulli_0_025,t_test,none,0.0421483352649318,0.05838550369376,0.89,0.01,0.06699719564240016,0.06026599783538034,0.06679583080190135,0.05187438400027995,0.0421483352649318,100
Real_100,Bernoulli_0_025,vincent,Ideal,0.12138227913199205,0.20493991776148535,1.0,1.0,0.45046940834673754,0.32468073095415256,0.21886455826398415,0.16021015157406196,0.12138227913199205,100
